ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ,ΑΙΘΟΥΣΑ,ΑΜΚΑ_ΙΑΤΡΟΥ,ΚΩΔΙΚΟΣ_ΝΟΣΗΛΕΙΑΣ
24111896512,B305935,2024-06-17 08:09:50,Χειρουργείο 5,16129514595,19802
01049067312,X649619,2026-08-14 23:47:24,Αίθουσα Επέμβασης 2,16049105631,23703
20065255581,B310027,2026-04-11 08:15:27,Χειρουργείο 2,21116234129,14637
08106289115,B315963,2024-03-15 02:35:29,Χειρουργείο 1,01026474429,18964
27081096107,K516979,2025-03-19 15:51:59,Χειρουργείο 5,15017994679,24978
08100174215,B316305.25,2025-11-02 04:03:29,Χειρουργείο 3,31056169071,18324
09114809441,X639567,2026-02-16 03:57:46,Αίθουσα Επέμβασης 2,05056159470,21795
21124039495,X631349,2026-12-29 09:42:41,Αίθουσα Επέμβασης 3,29048747950,26676
02035700567,X713839,2024-03-08 02:00:37,Χειρουργείο 4,22066909048,5323
21066599429,X712299,2026-04-05 15:56:18,Χειρουργείο 1,25087114134,10596
12050972621,X709535,2024-07-31 23:31:18,Χειρουργείο 3,11019480682,18261
22021431767,B312461,2024-03-26 12:00:23,Χειρουργείο 3,31036764120,3001
12068645255,X622429,2025-06-28 07:13:05,Χειρουργείο 2,31127128715,20208
25125594575,B311527,2026-07-06 21:53:32,Χειρουργείο 4,26076648963,6580
03075469126,B313905.4,2025-12-31 14:16:37,Αίθουσα Επέμβασης 4,02018629858,1604
27023869045,X681057.9,2026-11-01 05:49:50,Χειρουργείο 3,16027098320,23960
09127002140,B313605.1,2024-10-28 21:54:04,Αίθουσα Επέμβασης 3,29038506566,12352
08017705225,X681057.8,2026-08-13 22:37:53,Αίθουσα Επέμβασης 1,06067270098,27693
06054100114,X683119,2025-12-11 00:28:58,Χειρουργείο 5,07086512984,22997
29128226478,B308107,2026-11-10 17:59:46,Αίθουσα Επέμβασης 4,01099600492,3594
20068806057,X626047,2024-05-26 13:01:31,Αίθουσα Επέμβασης 3,20117228047,29598
17031112609,X669959,2025-12-06 04:36:39,Αίθουσα Επέμβασης 3,16057668308,24672
23062434685,B308887,2024-02-13 01:05:37,Χειρουργείο 1,03077355047,18159
09036248546,X668059,2025-09-20 15:49:40,Χειρουργείο 4,13049344733,10781
14077052397,K506165,2024-05-25 20:29:57,Χειρουργείο 2,04028115193,22640
19101305533,X611611,2025-12-06 21:55:09,Χειρουργείο 4,18078628006,10438
27083401776,A400237,2025-10-14 00:23:00,Χειρουργείο 3,25066070679,27872
14109529046,X714395,2026-04-18 22:33:04,Χειρουργείο 3,31087386956,7524
09050964414,X651035,2026-05-25 07:43:46,Αίθουσα Επέμβασης 4,10038736913,26827
03072136904,X611431,2024-03-14 08:43:47,Αίθουσα Επέμβασης 2,06067129338,15417
01076049386,B313937,2025-07-16 02:25:54,Χειρουργείο 4,08078996446,6927
07119280578,X636343,2024-11-26 03:24:42,Αίθουσα Επέμβασης 5,08097338699,16902
17080641032,B318427,2026-09-16 05:53:03,Αίθουσα Επέμβασης 5,02038186264,15795
29126530790,B311177,2025-09-24 23:24:08,Χειρουργείο 5,11069420002,7387
03020805809,X630181,2024-10-24 03:19:56,Αίθουσα Επέμβασης 3,21107446461,9331
08074030617,X628677,2024-10-11 21:39:52,Αίθουσα Επέμβασης 3,20036906148,2335
27051126361,B311209,2024-08-01 21:27:13,Χειρουργείο 3,27116381556,9208
07101170856,B316705.97,2026-05-21 09:09:12,Χειρουργείο 4,07068540070,10077
12058989889,X704471,2025-02-13 17:07:10,Αίθουσα Επέμβασης 5,30128750138,12967
14123142741,B314747,2026-01-05 13:03:20,Χειρουργείο 5,15128940931,2737
25115686958,X610273,2026-10-12 01:53:06,Αίθουσα Επέμβασης 1,19029442004,8330
22114787648,Β315905.22,2025-08-08 13:24:33,Χειρουργείο 4,09058303960,24892
01093671194,X631957.218,2025-10-06 00:00:41,Αίθουσα Επέμβασης 5,09087465106,16477
07062068178,X622023,2026-04-29 20:53:07,Αίθουσα Επέμβασης 1,23018017465,17734
25084830271,Β311905.145,2026-06-01 20:08:29,Χειρουργείο 3,13087594481,27197
17129185449,X628279,2026-02-18 11:43:55,Αίθουσα Επέμβασης 1,11019339247,709
17093505056,K514003,2024-09-08 16:55:30,Αίθουσα Επέμβασης 1,07079445783,20332
10024852460,X640179,2024-07-11 01:16:00,Αίθουσα Επέμβασης 2,09087465106,28947
29116882722,X650001,2024-05-08 15:56:09,Χειρουργείο 5,20117228047,13860
24047409942,X646589,2025-05-18 06:46:38,Αίθουσα Επέμβασης 5,06027984112,27917
09065391200,X694533,2024-04-24 21:59:24,Αίθουσα Επέμβασης 2,31036764120,19425
19018972348,X634607,2024-05-16 01:50:41,Χειρουργείο 2,30128750138,28273
10025775580,X677071,2026-05-15 13:29:08,Αίθουσα Επέμβασης 1,18046450046,4167
28116300841,K512977.7,2025-11-24 17:45:45,Χειρουργείο 1,23099549068,6549
02070668878,X662159,2025-06-04 20:49:07,Αίθουσα Επέμβασης 3,07068540070,1300
08050532018,X714043,2024-08-29 01:31:21,Χειρουργείο 1,20056259580,15613
22104540212,X669879,2025-03-16 02:23:46,Χειρουργείο 5,07086512984,23767
02034595915,X636899,2024-02-03 16:58:39,Αίθουσα Επέμβασης 2,10098802211,2639
12062389249,X631957.134,2025-12-20 10:32:21,Αίθουσα Επέμβασης 4,26109596245,18691
31089113399,B310647,2026-03-28 17:14:34,Αίθουσα Επέμβασης 5,17116460629,2491
05043924998,X633937.229,2025-07-28 01:32:23,Χειρουργείο 2,14036730831,11863
04066335023,K519979.1,2024-05-10 20:10:34,Χειρουργείο 1,15036205266,23660
08097931892,X670601,2024-08-15 00:56:20,Αίθουσα Επέμβασης 1,06088858657,19993
19043804420,X633937.151,2025-05-27 10:10:32,Χειρουργείο 4,02088557462,11289
10013551782,A402521,2026-07-17 12:17:59,Αίθουσα Επέμβασης 1,26026494790,5937
05113422444,X718831,2024-06-08 18:37:54,Χειρουργείο 5,16049105631,11602
17021805984,X621259,2026-03-30 04:37:36,Αίθουσα Επέμβασης 2,05017393553,20018
10081741612,X631957.87,2026-01-02 19:27:31,Χειρουργείο 2,02097580827,29101
09021720255,X626219,2024-01-21 13:22:25,Αίθουσα Επέμβασης 5,06129398379,14157
01027203214,X666049,2024-10-09 06:44:49,Αίθουσα Επέμβασης 2,22077399915,15450
19037899740,X632917,2026-08-11 10:11:27,Αίθουσα Επέμβασης 1,16108629101,9901
23080670720,X688159,2025-03-07 17:47:25,Χειρουργείο 3,02036898951,9369
17051271211,X670633,2024-03-02 05:18:30,Χειρουργείο 5,08038064163,24120
19100311398,X634321,2025-08-01 04:51:01,Χειρουργείο 4,23099549068,17382
02026821222,X696559,2026-04-21 04:20:29,Χειρουργείο 2,09058303960,24100
12030382582,B313605.395,2025-01-26 09:03:24,Χειρουργείο 1,06067270098,23867
26120648910,X704243,2025-06-09 05:32:23,Αίθουσα Επέμβασης 3,25099582251,2021
30015148253,A403735,2024-10-25 11:39:14,Χειρουργείο 2,03126963930,5372
05084711521,X697305,2024-03-14 03:36:12,Αίθουσα Επέμβασης 1,22069080015,29316
14029657196,X679091,2025-08-17 22:25:13,Αίθουσα Επέμβασης 4,14107187228,29205
24053840263,B313605.46,2024-04-22 04:09:30,Χειρουργείο 3,31036764120,27444
21096014499,X641769,2025-12-08 23:53:05,Αίθουσα Επέμβασης 2,06066504974,10719
14128626351,X644759,2025-03-07 03:06:42,Αίθουσα Επέμβασης 2,18077668129,1513
02046674997,X681389,2025-12-10 09:34:44,Χειρουργείο 5,19088103483,1479
10025152285,X703343,2026-10-13 15:39:53,Αίθουσα Επέμβασης 1,24128760642,12454
12124069383,A403109,2026-07-07 21:39:30,Χειρουργείο 1,19097671585,13305
28028784934,K512975.20,2026-09-25 04:23:57,Αίθουσα Επέμβασης 2,21036855841,27356
18121396643,X647423,2025-04-29 11:02:38,Χειρουργείο 1,15097845869,9410
14068099584,X681525,2025-10-14 14:52:13,Αίθουσα Επέμβασης 2,11029101695,20463
22065511921,X633937.40,2024-10-06 11:08:24,Χειρουργείο 5,21036855841,8684
13035940888,X622277,2024-07-28 20:55:15,Χειρουργείο 5,08078996446,19475
23058809207,X633937.44,2024-05-21 14:37:05,Χειρουργείο 5,01109198508,23469
10026382675,X641079,2025-04-19 05:11:01,Χειρουργείο 2,18117707554,5244
05077645020,B314965,2026-10-19 12:46:45,Αίθουσα Επέμβασης 3,20056259580,27768
23078788905,X646403,2024-09-05 16:32:08,Αίθουσα Επέμβασης 4,23017282546,11299
20034677811,B305401,2024-10-26 16:46:53,Χειρουργείο 4,25087114134,3240
21013822919,X647599,2025-11-27 07:19:22,Αίθουσα Επέμβασης 2,03126963930,4580
12114253533,X637757.4,2026-08-20 13:40:42,Χειρουργείο 3,31056269522,16358
24057994203,X628169,2025-01-27 06:18:45,Αίθουσα Επέμβασης 3,03047764549,17809
21022243711,X623579,2025-06-26 15:01:07,Αίθουσα Επέμβασης 2,09087465106,29114
29050387386,X603759,2026-08-29 14:41:39,Αίθουσα Επέμβασης 5,07039120569,24883
07039390021,X706569,2024-05-10 01:19:51,Αίθουσα Επέμβασης 3,06027984112,11706
15109179413,X709427,2026-10-12 18:03:10,Αίθουσα Επέμβασης 4,01048115081,26197
26057299916,X634849,2025-07-24 05:58:17,Αίθουσα Επέμβασης 1,30037959532,29966
05027587040,X622557,2026-06-22 17:22:08,Αίθουσα Επέμβασης 2,03049115587,7088
22050690740,X680733,2025-03-30 13:31:59,Αίθουσα Επέμβασης 1,30128750138,26830
22045818448,B313605.156,2024-07-05 13:01:22,Χειρουργείο 1,21029390527,1741
19087493844,X620259,2026-08-28 01:16:22,Αίθουσα Επέμβασης 5,15087602276,18739
26104002539,B313605.321,2024-05-28 11:56:53,Χειρουργείο 5,31087386956,1461
02028744276,X719299,2025-11-18 16:45:20,Χειρουργείο 4,24068366431,19011
22013915661,B300741,2026-08-27 20:09:32,Αίθουσα Επέμβασης 2,22077399915,26909
04030009199,X628399,2026-09-02 19:05:58,Χειρουργείο 2,07126830003,6996
20129426075,X686859,2025-09-11 16:34:45,Αίθουσα Επέμβασης 5,24127417202,29963
22017796047,B313605.252,2024-09-27 21:37:39,Χειρουργείο 1,03097463750,5406
13068607573,X661263,2026-11-22 02:17:02,Χειρουργείο 4,06088858657,7491
25114378870,X627799,2025-02-15 03:35:48,Αίθουσα Επέμβασης 2,19026775246,11575
05111484290,B313169,2024-06-07 18:42:05,Αίθουσα Επέμβασης 5,13019416697,25622
22091854259,X666957.1,2025-04-21 00:58:07,Αίθουσα Επέμβασης 2,22077399915,3208
21038129301,X667225,2024-01-26 19:21:23,Χειρουργείο 4,22056473676,22365
30047261594,X633469,2025-10-12 18:23:10,Χειρουργείο 3,03097463750,7989
30037873113,X627817.16,2024-09-06 12:37:43,Χειρουργείο 3,31127162692,17533
30096661075,K500691,2026-11-24 01:57:12,Χειρουργείο 2,26056031201,18329
05105141176,B307307,2025-09-12 03:01:33,Αίθουσα Επέμβασης 2,28106015571,10692
10090788345,X628679,2026-03-27 11:14:36,Αίθουσα Επέμβασης 1,08097338699,24146
14096324619,B315027,2025-09-13 20:20:45,Χειρουργείο 3,29087896734,6081
22087047758,B313605.86,2025-01-10 16:35:01,Αίθουσα Επέμβασης 1,12057413455,4585
14065209714,X709199,2025-09-01 15:35:35,Αίθουσα Επέμβασης 5,24127417202,28138
11112320459,B313341,2025-09-14 04:43:41,Αίθουσα Επέμβασης 1,01129618953,2690
16126102714,X686989,2025-01-20 03:56:08,Αίθουσα Επέμβασης 3,19029442004,8365
12109272721,K514797,2026-12-03 17:47:28,Αίθουσα Επέμβασης 3,03049115587,29701
02080350311,B313261,2026-02-16 20:29:59,Αίθουσα Επέμβασης 2,13049573563,12988
17055765873,X646467,2025-12-09 06:12:14,Αίθουσα Επέμβασης 4,01109198508,24740
01022583774,X650001,2024-05-26 14:52:55,Χειρουργείο 5,08066384048,25631
04093822971,X650901,2026-03-15 07:14:42,Χειρουργείο 3,03126963930,24108
07117537292,X618539,2026-05-19 16:35:23,Χειρουργείο 5,23018735761,18373
13079855908,B313837,2025-02-11 14:11:43,Χειρουργείο 1,31056269522,21432
14056610254,B316705.34,2024-02-01 10:00:31,Αίθουσα Επέμβασης 2,02077108433,9665
04053768543,X635367,2026-01-10 19:41:02,Χειρουργείο 2,21029390527,21506
08090425355,X622327,2026-11-08 13:14:32,Αίθουσα Επέμβασης 5,25108359031,19242
04084908667,X694525,2024-01-30 07:08:36,Χειρουργείο 4,14107187228,26322
02021772910,K513613,2025-08-22 09:55:51,Χειρουργείο 4,24097463592,15190
29101369410,X664199,2025-04-09 14:59:47,Χειρουργείο 1,13036214191,2017
18043646998,X646965,2026-06-22 10:32:13,Αίθουσα Επέμβασης 3,18078628006,10618
21012569459,K516179.2,2025-02-06 14:54:42,Χειρουργείο 4,07017002380,13900
03085321488,X624375,2024-06-01 02:30:50,Αίθουσα Επέμβασης 3,18027242588,26578
14127656591,X631957.213,2024-08-20 19:15:05,Αίθουσα Επέμβασης 5,22056473676,16805
11116634772,X684623,2024-06-26 06:08:16,Χειρουργείο 3,21079047523,25481
12038938621,Χ639957.2,2024-10-06 13:00:34,Χειρουργείο 3,25067470203,163
09079739374,K512973.3,2026-09-15 20:09:09,Αίθουσα Επέμβασης 1,25098689646,9170
04033110073,B316641,2025-12-21 22:05:57,Αίθουσα Επέμβασης 5,16058088797,22065
01088593394,B316651,2026-11-12 20:40:23,Αίθουσα Επέμβασης 5,24097463592,18828
24073988633,B316679,2025-07-27 14:21:39,Χειρουργείο 5,18027242588,23630
21055462377,A401625,2024-12-31 15:43:30,Χειρουργείο 3,14036730831,5803
20020281616,X647407,2024-06-01 11:53:48,Αίθουσα Επέμβασης 4,16058088797,6752
16070404761,K513591,2025-01-04 16:07:44,Χειρουργείο 5,24059714537,17178
20050097444,X719789,2024-01-29 01:27:58,Χειρουργείο 3,13049344733,17228
15044139696,X642533,2024-02-07 05:16:53,Χειρουργείο 2,27038876062,22391
06125569108,X641957,2026-02-09 21:05:28,Αίθουσα Επέμβασης 4,29018720992,28085
04103963261,B315209,2024-05-29 20:57:05,Αίθουσα Επέμβασης 5,07079445783,5055
23047539294,X669759,2024-12-07 11:17:14,Αίθουσα Επέμβασης 5,25078560613,5201
06096841224,K516179.2,2024-12-25 07:43:26,Χειρουργείο 4,30087210990,14917
08066404879,X703109,2025-03-23 05:17:02,Χειρουργείο 1,07017002380,1754
22128233004,X675439,2026-11-01 13:51:06,Χειρουργείο 2,14087685423,14065
01116207867,X703037,2026-08-01 07:56:47,Αίθουσα Επέμβασης 5,31127162692,20532
01096718662,B310517,2025-03-12 09:10:03,Χειρουργείο 2,20036906148,20216
22054184411,K506393,2024-11-19 09:40:51,Χειρουργείο 5,15017994679,7901
10117270420,X622117,2026-11-23 08:18:14,Αίθουσα Επέμβασης 2,13087594481,13164
08077375297,B314517,2025-04-13 11:30:14,Χειρουργείο 2,04096470957,27544
25055102709,X667229,2024-08-22 01:38:39,Αίθουσα Επέμβασης 5,04097289185,16597
24053779347,X636059,2026-02-03 18:55:07,Αίθουσα Επέμβασης 2,23077968309,7868
11045860019,B305223,2024-11-02 07:50:20,Αίθουσα Επέμβασης 5,07038155297,8846
23106155664,K511181,2025-09-05 15:32:25,Χειρουργείο 2,17086545716,22779
30080411756,X695559,2025-08-06 20:26:09,Χειρουργείο 3,20118029005,28599
10054656391,X635975,2025-06-20 18:30:29,Χειρουργείο 2,18078628006,8754
14107496108,B313093,2026-05-15 02:49:13,Αίθουσα Επέμβασης 5,16109211017,12882
08126680388,X635079,2026-07-28 06:07:38,Χειρουργείο 2,25067470203,18200
12038750288,B313747,2026-09-24 22:29:13,Χειρουργείο 3,16049105631,9826
27093270430,X653625,2024-06-27 09:44:23,Αίθουσα Επέμβασης 1,13049573563,15045
11113033367,B316705,2024-07-08 03:12:38,Αίθουσα Επέμβασης 4,25059138149,24681
18125074497,B313461,2026-07-21 01:46:42,Χειρουργείο 3,21017629522,7649
12103476139,X668371,2026-06-03 09:45:30,Χειρουργείο 4,03117001638,13744
27020614666,X704595,2025-06-20 15:04:34,Αίθουσα Επέμβασης 2,11028804475,2607
12053540156,B313605.259,2025-12-30 19:54:52,Αίθουσα Επέμβασης 4,18067010293,17762
05033123120,X636139,2025-07-16 21:31:28,Χειρουργείο 2,22077399915,19418
08078260005,B313707,2024-01-29 00:42:54,Χειρουργείο 2,12087368022,14697
21039626561,X697099,2024-12-14 07:24:36,Αίθουσα Επέμβασης 3,13049573563,5052
24055838107,K512975.35,2026-03-22 21:45:00,Αίθουσα Επέμβασης 1,06067270098,2105
11119984648,X680639,2026-04-20 11:31:17,Χειρουργείο 1,28027843113,26811
08089067496,K511467,2024-08-28 14:04:32,Χειρουργείο 1,21107026591,2974
31072310497,X672379,2025-07-17 06:43:03,Χειρουργείο 2,14017779931,2280
07110224349,X633937.192,2025-02-11 11:55:12,Αίθουσα Επέμβασης 5,07017002380,5994
03014143934,K516917,2026-10-01 11:40:39,Χειρουργείο 4,01109198508,11027
06037601487,X650143,2024-09-20 21:24:58,Αίθουσα Επέμβασης 5,06056298788,24408
12079440079,X694959,2024-02-05 22:20:21,Χειρουργείο 5,06028417733,5178
04064067961,K511281,2024-02-24 08:51:57,Χειρουργείο 5,19048935115,11434
31035246494,X718159,2025-05-02 18:03:32,Χειρουργείο 4,02077108433,29177
05114995605,B313905.14,2025-03-28 04:41:02,Χειρουργείο 4,02018629858,1759
04037737144,K513979.3,2024-01-18 21:25:59,Χειρουργείο 1,27028634014,12904
29054958224,X670727,2025-01-29 17:52:58,Χειρουργείο 2,18098586120,20733
03047081459,X681907,2026-02-02 12:56:28,Αίθουσα Επέμβασης 2,19097671585,19706
21110661615,X666489,2024-08-05 14:04:36,Αίθουσα Επέμβασης 2,03089789067,20370
28028792388,X647535,2026-10-26 21:36:34,Αίθουσα Επέμβασης 2,11019480682,22843
27083599544,K500321,2024-08-08 20:38:54,Αίθουσα Επέμβασης 3,15097845869,359
17081476194,X716629,2024-05-08 02:14:40,Χειρουργείο 3,28086691989,29909
18109295696,X626819,2024-05-20 20:36:38,Χειρουργείο 4,06056298788,22169
22041983037,X633937.260,2024-01-15 20:05:58,Χειρουργείο 3,18048136821,22963
29092114368,X633937.7,2025-05-09 15:24:27,Χειρουργείο 4,04096470957,27374
28099409986,K514141,2026-09-01 13:01:08,Αίθουσα Επέμβασης 2,31127162692,2529
24041350059,K512977.47,2025-05-13 23:08:41,Αίθουσα Επέμβασης 2,06127921077,13730
28107646184,X622129,2025-02-18 01:57:49,Αίθουσα Επέμβασης 4,02078022955,21590
12093996672,K512181,2026-07-25 12:30:36,Χειρουργείο 4,04119239492,27200
28120292581,X681459,2025-04-18 18:32:16,Χειρουργείο 5,07128933392,8036
20096702269,X696665,2025-08-06 16:40:13,Αίθουσα Επέμβασης 1,20027211534,1663
10125782228,X624391,2026-08-16 22:45:37,Χειρουργείο 5,12057413455,21400
05125198892,B314269,2025-11-27 16:11:10,Αίθουσα Επέμβασης 4,07067536585,6195
08089067496,X678599,2024-02-25 15:00:43,Χειρουργείο 4,08066384048,15126
08096801390,X714859,2025-01-10 18:40:03,Χειρουργείο 4,22046863505,13034
07052584162,X627309,2026-06-23 00:04:25,Χειρουργείο 1,23018735761,26956
08069234113,K511301,2025-09-28 23:20:09,Αίθουσα Επέμβασης 3,25086572696,16038
28068784830,K507281,2025-07-20 22:43:45,Αίθουσα Επέμβασης 5,14026323754,7537
04069569355,X634235,2025-07-08 07:32:56,Αίθουσα Επέμβασης 5,10086060998,10452
31011286639,X654249,2026-03-17 14:19:26,Αίθουσα Επέμβασης 4,14087685423,20189
13120177727,X697957,2026-11-21 12:02:36,Αίθουσα Επέμβασης 4,10086060998,3703
04025045242,X694379,2025-04-08 00:28:46,Χειρουργείο 5,07086512984,3890
15049349110,X606159,2024-02-21 06:30:56,Αίθουσα Επέμβασης 4,21046521057,9346
16024111135,X703197,2026-01-07 06:35:04,Χειρουργείο 1,14026323754,28575
19048681592,B306907,2026-01-05 09:24:45,Χειρουργείο 5,16049105631,28459
23108387447,X704255,2026-09-12 02:30:04,Αίθουσα Επέμβασης 4,31056169071,11421
27106686502,X625597,2025-02-11 01:22:37,Χειρουργείο 1,23018735761,12651
29071733106,K500921,2025-09-23 10:51:32,Χειρουργείο 3,07068540070,1206
30045919183,B314563,2024-05-15 23:19:31,Χειρουργείο 1,06027984112,21249
16017728046,B308081,2024-09-30 17:50:54,Αίθουσα Επέμβασης 5,19026775246,13621
17084440158,X634549,2026-05-10 12:15:59,Χειρουργείο 3,30068836428,23126
29121099113,B316705.50,2026-03-26 03:38:41,Αίθουσα Επέμβασης 2,27127004840,26117
17069164106,K508347,2025-10-30 11:56:11,Χειρουργείο 5,10038736913,10599
21110249392,X709383,2025-12-26 16:31:11,Αίθουσα Επέμβασης 2,04027352612,24275
28020453884,X633937.196,2026-03-05 22:30:14,Χειρουργείο 5,05059061176,16602
18050082566,K506041,2024-02-27 06:29:14,Χειρουργείο 2,06086096998,29615
20104434707,X633937.245,2024-07-10 01:01:07,Χειρουργείο 1,10028991768,12970
30081782365,B313605.273,2024-06-30 06:57:47,Αίθουσα Επέμβασης 1,07096320081,24687
16057779135,K507001,2025-11-08 16:02:28,Αίθουσα Επέμβασης 1,24127417202,22028
09082245458,X709149,2026-05-25 12:03:10,Αίθουσα Επέμβασης 1,06056298788,27226
27104074096,A403721,2024-11-10 03:22:18,Χειρουργείο 3,14107187228,13341
05095707018,X698111,2024-05-24 21:56:36,Χειρουργείο 3,27116381556,2325
14020864238,X693221,2026-02-05 15:55:12,Χειρουργείο 4,15017994679,6110
19090471787,K508583,2026-08-10 23:37:26,Χειρουργείο 4,09077793434,17978
08027292760,B316705.105,2025-06-05 01:42:07,Αίθουσα Επέμβασης 2,21029390527,28989
21086817071,X675999,2025-10-03 23:33:16,Χειρουργείο 1,22036277849,25653
12072073448,X663757.37,2024-11-25 00:58:33,Αίθουσα Επέμβασης 4,18077668129,15271
28122041668,X661643,2025-05-11 04:43:58,Αίθουσα Επέμβασης 1,07039120569,27697
19057845960,X697043,2026-09-23 21:52:17,Χειρουργείο 1,21029390527,21880
12103476139,X639999,2024-01-23 05:11:53,Αίθουσα Επέμβασης 5,19088103483,26623
15082186185,X701001,2025-10-01 17:27:07,Χειρουργείο 4,14117875826,9599
05121806930,B313365,2026-06-08 12:42:52,Αίθουσα Επέμβασης 3,26086295833,7134
11019869279,X717969,2025-04-18 14:24:49,Αίθουσα Επέμβασης 3,25126627516,1162
14121621504,X631957.32,2026-04-24 04:52:24,Χειρουργείο 2,05017393553,19039
14017341180,X696319,2024-11-24 03:25:54,Χειρουργείο 1,05017393553,13262
03115593035,B300719,2026-11-13 09:09:50,Αίθουσα Επέμβασης 5,22066909048,23228
25094833310,X635263,2025-07-03 07:11:11,Χειρουργείο 4,11087036989,38
05015061059,X681057.10,2026-10-28 12:15:04,Χειρουργείο 4,20018969312,8045
28111404175,X622637,2026-11-24 19:10:23,Χειρουργείο 1,20047493220,7825
15090717200,X683957.11,2025-07-10 10:53:35,Αίθουσα Επέμβασης 1,16109211017,15580
04093822971,X634251,2026-03-16 11:39:59,Χειρουργείο 2,06067270098,24108
07097608238,Β311905.177,2024-10-21 23:01:08,Αίθουσα Επέμβασης 2,01126898842,3010
27021596979,X630249,2026-02-17 09:12:09,Χειρουργείο 5,01078222862,20992
01031153879,Β311905.69,2026-10-11 23:14:47,Αίθουσα Επέμβασης 5,27038876062,16933
07090306892,X691621,2024-03-22 18:34:11,Αίθουσα Επέμβασης 2,13049344733,18987
04118764195,X683957.10,2025-09-28 21:09:44,Χειρουργείο 1,08078996446,19678
27043106934,X631957.116,2026-08-24 21:10:12,Χειρουργείο 5,06086096998,5704
20072303508,X646467,2024-05-14 07:13:53,Αίθουσα Επέμβασης 4,04037503050,11057
12103476139,X688969,2024-01-26 06:37:50,Αίθουσα Επέμβασης 3,28126455528,26623
14065300984,X703071,2025-05-18 02:00:09,Χειρουργείο 2,01026474429,10350
05030281663,X636571,2024-12-13 13:09:13,Αίθουσα Επέμβασης 4,03077355047,16480
09037268251,X614639,2024-03-28 08:33:19,Χειρουργείο 2,26086295833,14973
26068267702,X705983,2024-11-15 03:57:34,Αίθουσα Επέμβασης 4,14017779931,28348
07106041290,B316241,2025-03-20 08:31:42,Χειρουργείο 5,10088406393,4267
27079978426,K504371,2024-10-19 12:23:31,Αίθουσα Επέμβασης 3,20066498687,27359
18037537958,X631203,2025-07-19 19:45:34,Χειρουργείο 1,06027984112,12018
08010054645,B311247,2024-10-18 20:09:04,Αίθουσα Επέμβασης 1,04119239492,4622
12065754763,X670187,2025-04-12 18:51:42,Αίθουσα Επέμβασης 5,02078022955,883
26029664710,X645957.3,2025-10-28 04:42:56,Χειρουργείο 4,13036214191,7304
24116282778,X663757.50,2025-01-23 07:09:42,Αίθουσα Επέμβασης 3,10049377861,11143
24075252717,X633169,2025-07-22 10:59:12,Αίθουσα Επέμβασης 2,17129595144,9013
15036607366,B314589,2025-07-16 12:01:23,Χειρουργείο 5,13019416697,1301
08097931892,X677049,2024-08-14 06:26:10,Χειρουργείο 5,18038419704,19993
06105037642,B305857,2026-05-27 04:37:09,Χειρουργείο 4,28088884090,11216
10013551782,X711699,2024-06-14 06:06:18,Χειρουργείο 5,08038064163,19615
01040279026,X646363,2024-09-20 03:55:59,Αίθουσα Επέμβασης 3,25067470203,10403
27083882816,B312525,2025-12-16 23:21:13,Χειρουργείο 4,12057155300,23450
31014431011,A400081,2025-09-20 12:58:27,Χειρουργείο 4,17098211492,23665
20013740932,X631957.183,2025-07-11 12:13:35,Χειρουργείο 4,03117001638,24333
14079384555,X669999,2026-11-21 08:26:40,Αίθουσα Επέμβασης 5,10127855123,26349
29044207906,K516537,2025-09-22 01:11:46,Χειρουργείο 4,04077053309,26460
30044014009,B313131,2025-07-06 16:57:32,Χειρουργείο 5,19067764454,19966
05083256838,B314949,2025-03-02 15:33:55,Αίθουσα Επέμβασης 4,04107581800,22384
07037793535,X674229,2025-09-05 02:07:27,Χειρουργείο 3,12097182585,27659
09089723596,X671599,2024-08-26 01:50:02,Αίθουσα Επέμβασης 5,02036522626,11051
19084860666,X630845,2025-07-08 06:18:58,Αίθουσα Επέμβασης 4,06129398379,8189
22030874515,B313419,2026-02-04 08:35:43,Χειρουργείο 2,17098211492,15191
23080698384,X603925,2025-07-19 09:31:24,Χειρουργείο 1,18078628006,24948
28114637812,X631957.225,2026-05-18 09:29:20,Χειρουργείο 2,17086545716,20593
17090640836,X718759,2024-04-24 23:00:35,Χειρουργείο 5,20018969312,10199
26039070784,X714173,2025-12-26 17:26:58,Αίθουσα Επέμβασης 5,19029442004,23617
25126658954,K516917,2026-08-19 11:13:55,Χειρουργείο 4,07077275306,12027
28016911391,X643757.4,2026-01-17 02:52:34,Χειρουργείο 5,25067343186,5322
13026022042,X604073,2024-02-25 06:45:24,Αίθουσα Επέμβασης 2,16108629101,18587
19020841520,X667621,2026-04-16 17:31:35,Αίθουσα Επέμβασης 4,25067470203,7857
24073988633,X719279,2025-07-19 04:43:10,Χειρουργείο 3,10116142591,23630
09055189891,X680639,2024-09-21 11:15:28,Χειρουργείο 1,11019480682,8488
27106818678,A403799.35,2026-05-18 16:45:44,Χειρουργείο 4,26119233090,23466
02077252277,X708819,2025-02-04 10:35:38,Χειρουργείο 5,18098586120,7824
19084860666,B313605.75,2026-08-21 11:22:28,Αίθουσα Επέμβασης 1,28058685920,5087
