ΑΡΙΘΜΟΣ_ΣΥΜΒΟΛΑΙΟΥ,ΟΝΟΜΑ_ΦΟΡΕΑ,ΑΜΚΑ_ΑΣΘΕΝΗ
INS-322231767,ΕΟΠΥΥ,24083565448
INS-107608219,INTERAMERICAN,21019832591
INS-673276598,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,18069753158
INS-042466339,NN HELLAS,12056769184
INS-900225077,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29129239384
INS-529654485,ΕΟΠΥΥ,30094855110
INS-052574470,NN HELLAS,05094880092
INS-464437998,EUROLIFE FFH,08068178643
INS-383832070,INTERAMERICAN,05060709559
INS-393074453,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13047449408
INS-070140691,EUROLIFE FFH,05127309563
INS-856020827,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29069788521
INS-541107703,NN HELLAS,20057699275
INS-037269885,GENERALI,05070616818
INS-337627772,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,09055070804
INS-030271222,ΕΟΠΥΥ,15045358474
INS-790846514,ΕΟΠΥΥ,27065810176
INS-670357240,GENERALI,14117481471
INS-112580614,ΕΟΠΥΥ,11037666132
INS-670774448,GENERALI,07050347723
INS-785230233,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,15047004075
INS-169303825,GENERALI,30088521105
INS-869549814,EUROLIFE FFH,15117875414
INS-256774741,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01015271797
INS-718051177,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,09027539098
INS-793280085,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,26089319889
INS-704883509,NN HELLAS,15127643591
INS-333570654,ΕΟΠΥΥ,09014616442
INS-356661762,INTERAMERICAN,17047649819
INS-267428913,GENERALI,19038073176
INS-740051306,GENERALI,21017343840
INS-454344526,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28113445069
INS-380509544,INTERAMERICAN,11018859853
INS-954342293,NN HELLAS,20048289233
INS-801272785,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,15076137205
INS-315210449,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,22060172711
INS-208967236,EUROLIFE FFH,04064149227
INS-319048402,GENERALI,16015253948
INS-268874671,NN HELLAS,01027684089
INS-713400165,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,21055092071
INS-025114705,NN HELLAS,02037378483
INS-982978372,INTERAMERICAN,02046674997
INS-212745517,NN HELLAS,28044252735
INS-350506966,ΕΟΠΥΥ,27055693870
INS-744324827,EUROLIFE FFH,29091748413
INS-645624190,NN HELLAS,25061153633
INS-792479413,GENERALI,16072077170
INS-362863103,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,17123202564
INS-839790826,ΕΟΠΥΥ,13012568385
INS-107338308,ΕΟΠΥΥ,02051636795
INS-578657061,GENERALI,13112177906
INS-992428542,NN HELLAS,24030674798
INS-340044214,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,22044171316
INS-664838346,EUROLIFE FFH,23069929464
INS-979422905,EUROLIFE FFH,09101341225
INS-720074560,ΕΟΠΥΥ,25046332359
INS-093671826,GENERALI,25074315918
INS-074564334,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13089850303
INS-583825918,ΕΟΠΥΥ,21065902911
INS-959555203,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01048919957
INS-563991980,ΕΟΠΥΥ,27053832936
INS-175724613,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28022188531
INS-859365535,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,04038827787
INS-381758130,NN HELLAS,28017346359
INS-360211527,ΕΟΠΥΥ,30094583069
INS-417886213,GENERALI,15073673814
INS-573904208,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08103059677
INS-917375589,GENERALI,31104996266
INS-398113727,EUROLIFE FFH,09046258936
INS-408135897,EUROLIFE FFH,22032545907
INS-710931929,NN HELLAS,30127525922
INS-422290912,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13084293588
INS-205362207,ΕΟΠΥΥ,10103046610
INS-879868613,GENERALI,05038773957
INS-541951194,INTERAMERICAN,31017074288
INS-548477873,EUROLIFE FFH,31078957652
INS-354448990,ΕΟΠΥΥ,24085417446
INS-511208265,NN HELLAS,08018874375
INS-453404686,ΕΟΠΥΥ,07055647702
INS-728203187,EUROLIFE FFH,17075560941
INS-080799527,EUROLIFE FFH,16018064591
INS-976830275,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30091307567
INS-041041501,EUROLIFE FFH,27118017643
INS-504128015,NN HELLAS,12024903192
INS-705397290,NN HELLAS,25030388116
INS-848021932,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30054666797
INS-014857741,EUROLIFE FFH,17064337690
INS-191304050,ΕΟΠΥΥ,18056321507
INS-843560689,NN HELLAS,26059969377
INS-748138830,NN HELLAS,23024633464
INS-044015039,INTERAMERICAN,10091317575
INS-090822976,EUROLIFE FFH,27072262190
INS-827216249,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30061442967
INS-462023609,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14064011454
INS-429773910,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,16093723232
INS-601288578,INTERAMERICAN,19106956643
INS-711817032,INTERAMERICAN,31057624083
INS-803500976,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,16118073314
INS-048231205,EUROLIFE FFH,05119916370
INS-272433528,GENERALI,08097468013
INS-514209813,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23103688653
INS-059189369,INTERAMERICAN,20024063810
INS-621500987,INTERAMERICAN,12079154247
INS-222275662,GENERALI,25063508954
INS-902555526,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,28028792388
INS-138957576,ΕΟΠΥΥ,30106550249
INS-912238188,GENERALI,12108707849
INS-828056724,INTERAMERICAN,05024849573
INS-832403696,NN HELLAS,08119210226
INS-085876061,INTERAMERICAN,31038948009
INS-586634762,EUROLIFE FFH,10044929066
INS-834609056,ΕΟΠΥΥ,22033410910
INS-539142726,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06029095222
INS-685591122,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,25043908905
INS-577389161,NN HELLAS,11015968973
INS-500025122,EUROLIFE FFH,27071972698
INS-911767084,INTERAMERICAN,10118306202
INS-393079395,INTERAMERICAN,24057994203
INS-835531835,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14016402721
INS-000126726,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06017765677
INS-741970796,INTERAMERICAN,12014202132
INS-606203692,GENERALI,26107957630
INS-406706143,EUROLIFE FFH,15075451642
INS-197110992,ΕΟΠΥΥ,15075177239
INS-212027651,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,01116766071
INS-512551112,GENERALI,02123736375
INS-517479330,EUROLIFE FFH,16086210511
INS-789168386,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30041516153
INS-114837364,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,04105991514
INS-987530244,INTERAMERICAN,08034560827
INS-762865777,NN HELLAS,26010881067
INS-200614195,ΕΟΠΥΥ,21023227828
INS-995150677,ΕΟΠΥΥ,25104422997
INS-410873811,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,10024780054
INS-383465567,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,17025844276
INS-229732185,GENERALI,23128074737
INS-519971223,EUROLIFE FFH,16116021116
INS-777882075,NN HELLAS,07119280578
INS-741202288,INTERAMERICAN,05014990030
INS-913005598,EUROLIFE FFH,18098293266
INS-353524934,EUROLIFE FFH,31105961399
INS-235017984,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13040527173
INS-891712386,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23116036888
INS-621022633,INTERAMERICAN,15124867101
INS-697461822,ΕΟΠΥΥ,13107959780
INS-696843852,ΕΟΠΥΥ,11024108805
INS-695803107,INTERAMERICAN,27084745536
INS-588015494,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24050163508
INS-421764230,INTERAMERICAN,22114271260
INS-475136953,GENERALI,21054781062
INS-146884445,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19122435392
INS-859965647,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,02125704217
INS-988449744,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,13123909847
INS-994934085,NN HELLAS,17066517512
INS-545557987,ΕΟΠΥΥ,08058676237
INS-869728558,NN HELLAS,18105168789
INS-976348548,GENERALI,07109659006
INS-639681884,GENERALI,05045276853
INS-919635858,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,05042441352
INS-087368052,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,27016340111
INS-661918249,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,01113868149
INS-167372495,INTERAMERICAN,20114908389
INS-910887546,EUROLIFE FFH,12063029243
INS-809613824,ΕΟΠΥΥ,09019013179
INS-652337678,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,18104974822
INS-374100097,EUROLIFE FFH,10089733989
INS-059197395,INTERAMERICAN,17084242281
INS-862018935,INTERAMERICAN,14114471838
INS-277853735,GENERALI,02092089815
INS-849939961,NN HELLAS,08034364246
INS-240483564,ΕΟΠΥΥ,09054212009
INS-534913242,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13078179171
INS-203991214,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29050914554
INS-908104910,INTERAMERICAN,16067726638
INS-801192401,GENERALI,29123076270
INS-457707528,ΕΟΠΥΥ,14042503265
INS-099573110,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28102189085
INS-985102142,EUROLIFE FFH,23038573512
INS-105206970,EUROLIFE FFH,02020121890
INS-315626544,EUROLIFE FFH,11098651941
INS-215836573,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,27119495066
INS-845542391,GENERALI,26125666736
INS-433892771,EUROLIFE FFH,11061856555
INS-911284762,NN HELLAS,18076111180
INS-922221041,ΕΟΠΥΥ,02025792559
INS-753489092,ΕΟΠΥΥ,26042342439
INS-731530937,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,02104743842
INS-311231586,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,31012347895
INS-793458108,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,17129225671
INS-892564853,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,03082402566
INS-486217443,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,31056889398
INS-465759588,NN HELLAS,19108596348
INS-236719030,INTERAMERICAN,24114582251
INS-752326439,INTERAMERICAN,29035674174
INS-937735889,GENERALI,28110143409
INS-785390054,INTERAMERICAN,18049890448
INS-952096224,NN HELLAS,28123464520
INS-025845590,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30070906156
INS-613497088,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,01129953810
INS-507322322,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,10011821784
INS-101278493,GENERALI,04034369559
INS-710372841,INTERAMERICAN,02057802073
INS-222183530,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,15056882345
INS-246754048,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03057523115
INS-775791590,ΕΟΠΥΥ,10093705912
INS-218346000,ΕΟΠΥΥ,15021313798
INS-547718887,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,02040888939
INS-898473180,NN HELLAS,20073399285
INS-886522522,INTERAMERICAN,22114277790
INS-180640613,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,13127409557
INS-045918251,ΕΟΠΥΥ,14053680769
INS-678670994,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06043495309
INS-730841050,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24064344553
INS-312329589,GENERALI,14076665686
INS-228752170,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,04109458141
INS-990699186,EUROLIFE FFH,11066895083
INS-647893939,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30051874441
INS-325109267,ΕΟΠΥΥ,08108441340
INS-911202559,EUROLIFE FFH,16013917771
INS-749434161,INTERAMERICAN,29122176217
INS-842746418,INTERAMERICAN,10014519070
INS-038480524,GENERALI,28096242840
INS-848269686,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14102082552
INS-191965011,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,12050430793
INS-766927186,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,29101042572
INS-779825175,ΕΟΠΥΥ,24039053031
INS-307631323,ΕΟΠΥΥ,28062193903
INS-244533857,NN HELLAS,04109265932
INS-996247626,GENERALI,14011836175
INS-057887693,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,08047919804
INS-137680445,INTERAMERICAN,14122498986
INS-359457448,ΕΟΠΥΥ,04061239008
INS-853454268,GENERALI,24070313638
INS-091399502,GENERALI,17108363506
INS-520943515,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,13100470085
INS-243178050,INTERAMERICAN,21091014025
INS-647189964,NN HELLAS,19047007920
INS-658316547,INTERAMERICAN,16077444721
INS-367644379,INTERAMERICAN,03021592077
INS-279862775,NN HELLAS,30032000840
INS-378384041,EUROLIFE FFH,31121295478
INS-897012970,EUROLIFE FFH,24109827319
INS-768281477,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08080652566
INS-477355673,NN HELLAS,27124453107
INS-006978676,ΕΟΠΥΥ,19065779025
INS-481968097,GENERALI,29119745870
INS-337837616,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,18124233218
INS-223735764,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,29090231890
INS-116085485,NN HELLAS,15118067869
INS-872461874,NN HELLAS,13017521593
INS-177341162,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,19029591624
INS-903156427,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30094378075
INS-472299923,ΕΟΠΥΥ,02037656655
INS-215116018,EUROLIFE FFH,18064630046
INS-112970619,INTERAMERICAN,27077236909
INS-265469186,INTERAMERICAN,17125935490
INS-783459811,GENERALI,10026743374
INS-910006400,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30013834204
INS-927029408,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,12123933682
INS-318845506,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,22065160475
INS-852827327,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13069452762
INS-106095175,INTERAMERICAN,23028331559
INS-414067947,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28029030636
INS-041091006,NN HELLAS,05076608368
INS-674167957,EUROLIFE FFH,28102474570
INS-448022605,ΕΟΠΥΥ,26049369732
INS-079637513,NN HELLAS,28049482634
INS-785871638,EUROLIFE FFH,08029985494
INS-040494537,EUROLIFE FFH,20107007622
INS-017297115,EUROLIFE FFH,21079706706
INS-381186318,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,23055047825
INS-862446749,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26026298749
INS-696278990,INTERAMERICAN,27067257007
INS-231113946,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,20115460557
INS-993387140,EUROLIFE FFH,11054799932
INS-874994393,GENERALI,15026451176
INS-129651751,ΕΟΠΥΥ,28020507045
INS-002258519,INTERAMERICAN,13086558520
INS-714805548,NN HELLAS,02012444444
INS-906372627,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26078813197
INS-567069885,NN HELLAS,11042283288
INS-325334497,EUROLIFE FFH,11084456881
INS-422314264,INTERAMERICAN,12011385548
INS-337597307,GENERALI,05051254394
INS-787866420,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08067993035
INS-088159889,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,12067771993
INS-008448571,INTERAMERICAN,09039082632
INS-414057419,ΕΟΠΥΥ,29017851712
INS-691021626,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06014323755
INS-438167777,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,25052497919
INS-537348590,INTERAMERICAN,12037897878
INS-920403783,EUROLIFE FFH,09029191834
INS-800336166,INTERAMERICAN,15012356193
INS-504638488,GENERALI,20125383209
INS-389585394,INTERAMERICAN,02113851687
INS-521584114,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,26096322466
INS-914408954,NN HELLAS,31125488856
INS-755894193,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,19090043770
INS-195551117,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04030325883
INS-486179115,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20098022354
INS-659757325,GENERALI,25064646281
INS-182627420,EUROLIFE FFH,06025760673
INS-799617446,ΕΟΠΥΥ,08069565776
INS-843140334,GENERALI,22093603086
INS-261759957,NN HELLAS,23078593387
INS-840741599,EUROLIFE FFH,04047638807
INS-339485277,INTERAMERICAN,10071339403
INS-215544823,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,03113266213
INS-570451597,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,23129295613
INS-827876482,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,27090980743
INS-494524742,GENERALI,28076847130
INS-765403654,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06123487543
INS-077505958,INTERAMERICAN,29120299207
INS-491225751,ΕΟΠΥΥ,20022155118
INS-347488034,NN HELLAS,21067103410
INS-650697778,NN HELLAS,25111899896
INS-863468964,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,13088505770
INS-488493838,INTERAMERICAN,22127774843
INS-332988559,ΕΟΠΥΥ,06014085702
INS-897530827,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07119912952
INS-706590097,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,15071406767
INS-980517250,GENERALI,27085372278
INS-960120707,INTERAMERICAN,10096139252
INS-409213548,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,12059105534
INS-725799377,INTERAMERICAN,29049776709
INS-662417198,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,25051667916
INS-445559044,ΕΟΠΥΥ,09049477138
INS-784339597,INTERAMERICAN,15016288767
INS-497893951,INTERAMERICAN,22088145796
INS-046195027,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,09105522603
INS-155183096,INTERAMERICAN,10021062282
INS-677677718,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,17050103281
INS-580416509,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,22069605393
INS-995453964,INTERAMERICAN,16027917542
INS-881899865,EUROLIFE FFH,29045103893
INS-544973661,NN HELLAS,06105940696
INS-972996170,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07081108205
INS-905279067,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,02111960128
INS-082278488,GENERALI,06110574703
INS-673211885,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,07078922179
INS-187239883,NN HELLAS,19072130893
INS-104055150,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08025727470
INS-601086416,ΕΟΠΥΥ,16115240890
INS-730012537,ΕΟΠΥΥ,31032264489
INS-682583216,ΕΟΠΥΥ,30064071566
INS-294242189,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,08022590692
INS-087609772,GENERALI,24012262866
INS-357017172,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04066335023
INS-706409657,NN HELLAS,08116902185
INS-663058366,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20070111740
INS-785320646,EUROLIFE FFH,27047351136
INS-611799259,INTERAMERICAN,01078874227
INS-506118756,EUROLIFE FFH,05046175482
INS-068263031,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,09082245458
INS-179745363,EUROLIFE FFH,16056244472
INS-440743080,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,15048853722
INS-492459740,EUROLIFE FFH,09080722389
INS-466070962,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,25040105115
INS-124443855,INTERAMERICAN,28116960363
INS-812071899,EUROLIFE FFH,24049701034
INS-399309849,EUROLIFE FFH,02048895964
INS-618332217,ΕΟΠΥΥ,07010207876
INS-143186675,INTERAMERICAN,27028989453
INS-672262992,NN HELLAS,29065319430
INS-433166123,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24080349352
INS-977395064,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06053171195
INS-571480409,GENERALI,01080037209
INS-032097236,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,19032035452
INS-549975103,ΕΟΠΥΥ,16086073496
INS-852860335,NN HELLAS,23064232483
INS-202520708,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,08104550986
INS-640903113,ΕΟΠΥΥ,29019317674
INS-999782384,ΕΟΠΥΥ,15110175790
INS-129847381,GENERALI,26103491141
INS-513479169,INTERAMERICAN,06056688614
INS-772715680,NN HELLAS,03086293140
INS-577580361,ΕΟΠΥΥ,11109344531
INS-504507226,NN HELLAS,25089797508
INS-478089640,ΕΟΠΥΥ,30053878679
INS-532562263,NN HELLAS,24073264196
INS-391266848,NN HELLAS,22121068756
INS-629722696,EUROLIFE FFH,09036898173
INS-295137959,GENERALI,27037744463
INS-960600227,EUROLIFE FFH,15119462072
INS-368135470,NN HELLAS,22036730141
INS-561292283,GENERALI,24051398446
INS-821300209,GENERALI,21030465745
INS-841417023,INTERAMERICAN,24057752204
INS-987213779,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,26093649299
INS-955695155,INTERAMERICAN,07037595568
INS-852844623,EUROLIFE FFH,28058218249
INS-783176853,ΕΟΠΥΥ,29050921162
INS-787364453,GENERALI,29096422012
INS-177047768,INTERAMERICAN,28054273949
INS-860386842,EUROLIFE FFH,15012520883
INS-043401707,INTERAMERICAN,28064897509
INS-722095661,ΕΟΠΥΥ,18093848680
INS-671558872,INTERAMERICAN,21020676410
INS-557138317,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06106929709
INS-099986152,ΕΟΠΥΥ,21027597508
INS-796354005,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,28040339465
INS-061161483,NN HELLAS,17056686631
INS-821346088,GENERALI,11052482197
INS-970543318,NN HELLAS,27078563763
INS-622427662,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,06079021731
INS-882306071,NN HELLAS,23080670720
INS-780916529,NN HELLAS,09072114791
INS-475562716,ΕΟΠΥΥ,15032415410
INS-300830676,INTERAMERICAN,21020665607
INS-862430039,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,04103963261
INS-056187812,NN HELLAS,27084940804
INS-019537138,EUROLIFE FFH,30070624895
INS-426364272,NN HELLAS,04039273899
INS-508355282,GENERALI,25050823468
INS-767100587,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,30063019593
INS-783516616,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14063408377
INS-904471625,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14039823598
INS-964771566,NN HELLAS,11016907980
INS-438735423,EUROLIFE FFH,30049098047
INS-046983420,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14037069614
INS-631440571,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,20041453395
INS-845979941,GENERALI,19037409711
INS-067309066,ΕΟΠΥΥ,17123499973
INS-769832294,INTERAMERICAN,03064845711
INS-398960002,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,27106427006
INS-126192852,NN HELLAS,26020183900
INS-799538062,INTERAMERICAN,27107464959
INS-403774489,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,04014155657
INS-079517196,EUROLIFE FFH,12115735846
INS-194723704,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,24024085606
INS-990852353,INTERAMERICAN,29122029681
INS-466020736,ΕΟΠΥΥ,29108397930
INS-337610021,EUROLIFE FFH,12072386609
INS-341122090,ΕΟΠΥΥ,05118697760
INS-675962779,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,14089569023
INS-487302409,EUROLIFE FFH,22038836077
INS-704643477,GENERALI,24029384289
INS-466571125,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,12040318707
INS-194532419,NN HELLAS,15082425063
INS-494566281,ΕΟΠΥΥ,09106005675
INS-225764399,INTERAMERICAN,27061255003
INS-399292148,NN HELLAS,01107068072
INS-220977684,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,03045098701
INS-901039260,NN HELLAS,28122341618
INS-695073969,INTERAMERICAN,28017087380
INS-875469345,NN HELLAS,19123574361
INS-717961689,ΕΟΠΥΥ,01126861843
INS-845187985,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,30118185059
INS-191288850,ΕΟΠΥΥ,05032581254
INS-539475301,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,18021892719
INS-511593094,INTERAMERICAN,02026303709
INS-341587633,INTERAMERICAN,04125691967
INS-977494848,EUROLIFE FFH,24095152021
INS-267286362,NN HELLAS,18025875179
INS-392853497,INTERAMERICAN,05074914283
INS-455402952,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,27114967038
INS-448159717,EUROLIFE FFH,28126103784
INS-043333929,NN HELLAS,14075841666
INS-508039205,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,25124212568
INS-539901955,ΕΥΡΩΠΑΪΚΗ ΠΙΣΤΗ,17114934088
INS-605229129,GENERALI,31056620144
INS-300131407,INTERAMERICAN,26016399662
INS-948845425,EUROLIFE FFH,16117286901
INS-441606086,GENERALI,25114026550
INS-798513656,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,18092127838
INS-787883598,NN HELLAS,16010685899
