ΑΜΚΑ_ΒΟΗΘΟΥ,ΑΜΚΑ_ΑΣΘΕΝΗ,ΚΩΔΙΚΟΣ_ΠΡΑΞΗΣ,ΗΜΕΡΟΜΗΝΙΑ_ΩΡΑ
03086348216,26073655296,X667181,2024-11-19 13:41:55
12086271854,04059398395,X633937.254,2024-05-19 20:07:08
28106015571,05035038168,B311227,2026-06-09 10:26:36
18027242588,12069094488,X631957.237,2026-06-15 07:03:32
01099739044,23100078282,X666389,2025-02-12 20:10:31
22077399915,09047788797,X714587,2026-06-02 23:11:43
29018364310,23055219253,X606261,2025-04-04 08:44:54
19026775246,07070544432,X713799,2025-11-10 23:22:44
24088935039,10025345803,B316705.117,2026-06-18 01:56:59
11069443542,29044207906,X642699,2024-06-14 15:11:15
21118287193,18016888307,X637419,2027-01-03 18:50:16
20120057109,16120505004,X666865,2026-12-05 09:42:27
04107581800,19096724150,K515503,2026-04-13 10:08:38
03086348216,23030768119,A403783,2026-05-21 17:05:44
05056159470,16123276951,X602041,2026-11-04 05:57:07
15117326267,25061455544,A403021,2026-09-29 08:55:56
30059598934,04037526062,X679171,2025-12-22 19:42:07
10038736913,16069804753,X681279,2025-04-04 08:06:10
27038876062,08060061416,B306905,2025-09-11 02:47:51
06067270098,29059153091,X709751,2024-06-13 06:20:44
29069575442,09096926722,ΠΕΡΙΟΧΗ ΩΤΟΣ,2025-07-19 01:14:14
22046863505,20114324103,K511769,2024-04-14 12:17:12
22129633534,14080573873,X607961,2024-06-10 01:03:05
13049344733,05060633493,X715639,2025-12-05 23:04:03
23087652129,29015799499,X638359,2025-06-30 02:30:29
01088554347,30014000248,K512977.28,2026-03-13 12:14:20
01019214971,07126394867,X661575,2025-11-18 07:50:19
25086572696,03119333441,A402601,2024-01-10 22:41:50
06066504974,29073152271,X673759,2026-03-26 21:34:19
06086431193,12028571369,X631957.60,2024-07-10 08:07:33
31056269522,26126276221,X706123,2024-12-24 13:47:20
05118656775,23078081320,X703375,2024-09-29 10:48:11
28057037026,07099519643,X681049,2025-08-30 07:18:01
18090094593,14116122012,B314143,2024-11-26 02:23:54
24029044439,02021951386,X633937.42,2026-12-23 09:12:15
01117326244,06024128745,B308177,2024-07-14 05:59:35
07128933392,17030008668,X642799,2025-07-07 06:50:43
19036395052,22013484985,K516681,2025-02-26 21:54:32
08038064163,17073450605,X669167,2025-06-06 21:44:59
17059777666,10051706930,X644031,2025-12-06 12:00:28
07119294567,28040959971,B313605.158,2026-04-21 05:31:00
12096045767,17129446043,X634527,2026-10-09 19:47:32
23038301805,21043537313,X622957.6,2024-05-03 08:54:26
28018712927,31103974309,B316705.62,2025-12-21 10:45:06
11028804475,15045475136,X646813,2025-07-16 01:49:10
26119233090,06053763477,X631229,2024-11-18 15:01:36
15066445561,04092373942,B307231,2024-02-01 09:56:01
01028453566,18128345531,X651125,2024-04-30 14:29:37
31128168449,19075144302,B313605.10,2026-07-11 21:06:32
06088858657,10070966613,B300239,2024-04-26 02:38:38
24127184919,19125604601,X620161,2025-04-15 15:09:09
05056159470,08114719127,B313605.46,2025-08-12 19:16:55
15068957567,19064721008,X631957.1,2025-01-20 15:29:23
08107361931,23125448924,B316679,2024-01-05 19:30:12
11117481536,23047406946,X631107,2025-12-22 23:56:01
25066070679,07034817478,B310601,2026-06-12 04:24:49
05107951647,28096960050,X626299,2024-12-04 19:46:28
19088103483,01071318252,B307167,2024-04-11 08:13:29
08107361931,20116971988,X703073,2025-04-20 17:57:32
28057037026,19088555523,X711519,2026-05-16 13:01:27
03097463750,25013985643,X639759,2026-04-04 18:59:38
19046880487,11106342019,X638969,2025-12-19 22:00:53
29018364310,15057072430,X661649,2025-09-25 13:19:44
30069480731,17080416177,A401313,2024-08-21 09:59:20
01109198508,10085010689,X622761,2024-01-08 03:45:00
24088935039,27040644668,B314047,2024-11-08 11:52:12
09078487422,09072205330,X622261,2026-01-22 01:41:55
05018692904,12032383051,X633937.41,2026-02-12 13:46:59
31077414694,13093404484,K508841,2026-12-25 15:14:24
12046562974,12083616382,B312621,2024-12-13 10:05:29
05107951647,24095113155,X704255,2024-06-26 09:56:51
21059745722,23098115602,X716701,2025-05-15 20:37:14
20018969312,20045303595,X709395,2024-10-28 19:54:44
05019665938,18068475471,Β311905.125,2025-04-01 22:52:52
16019343953,17062483938,B313365,2026-07-02 07:52:30
15066445561,22113486837,B316705.130,2025-11-18 10:49:54
30109708330,26015477718,B313605.309,2026-10-17 13:36:14
19038209414,15050860978,X647175,2026-01-13 15:10:14
14067544474,01037266724,X670569,2026-02-27 15:56:55
03126963930,10080923238,X631957.109,2025-11-01 02:45:17
18026483619,06020666494,Χ639557.1,2024-11-16 18:38:47
16066288202,08103280067,X709671,2025-06-23 06:53:03
27017521250,27032287959,X681065,2025-04-12 11:07:54
08066201038,30010267517,X684647,2024-11-06 02:49:04
05088335722,27127438697,B313605.391,2026-04-14 11:51:24
18067010293,24077134646,A403633,2025-04-24 02:16:02
26109984655,10048914376,X675389,2026-11-26 21:29:16
05118656775,04114119397,X678121,2026-05-14 06:36:31
09077793434,26010423423,X622377,2024-04-06 08:11:48
07058449408,28076715145,Β311905.58,2025-04-18 16:46:42
28068899789,31018023936,X643133,2025-11-05 17:13:04
21098434179,12125379852,X626113,2025-03-16 08:27:59
29049650848,23089263220,X663757.29,2025-05-20 11:05:07
03128845112,12031326965,X651227,2024-04-22 22:25:37
24127417202,11061243873,B311227,2025-05-31 22:02:05
27047450977,06107792946,B313605.279,2024-03-18 02:07:12
13086961070,06045998950,B314517,2024-04-20 00:34:16
01016353360,13129045558,B311371,2024-01-10 15:04:09
30118698533,14040184194,A403665,2024-11-08 05:35:25
26056031201,01075678094,A403061,2024-06-27 09:12:31
10038736913,21057697037,X692843,2025-07-25 14:24:56
31018504386,23093204887,X685239,2024-03-04 20:06:50
15087997048,18024943363,X708763,2025-04-02 03:06:24
22057255499,16123378672,X699187,2025-06-17 21:11:52
08066384048,30011850851,X683431,2025-09-08 14:34:00
06086096998,16104918312,K515021,2025-09-12 12:41:11
18090094593,14047146611,B308375,2026-12-11 15:48:37
14026323754,17034388037,X664323,2024-10-16 15:31:15
25077967332,16027917542,X706561,2026-04-29 05:06:33
06027984112,02103680665,B316705.77,2024-10-27 22:11:46
15097845869,24075252717,X643399,2025-03-12 02:26:27
15066496881,09115213886,X628829,2024-07-06 20:43:59
10088406393,16049493263,X664173,2026-10-06 17:29:23
24128760642,21079786329,X646879,2024-09-03 20:40:59
15087050344,18082375574,K517179,2025-08-17 03:39:13
25126627516,24093548737,A401385,2025-10-14 12:22:39
21107446461,18056321507,X630159,2024-09-21 03:28:25
06057292609,24025804351,X669917,2024-03-24 02:37:16
11017293008,29079968130,X630739,2025-07-22 06:16:27
16038610700,26028858588,X663757.39,2024-06-10 11:42:16
17037970004,24031761416,X626799,2024-09-19 15:04:40
11028804475,04027751852,K516223,2024-12-04 14:13:05
25078560613,15022510662,X719279,2026-06-07 09:54:04
02088557462,08097768598,X666019,2024-10-25 19:54:44
19106310004,05047640277,X649609,2025-04-30 12:39:34
02048031608,05085814807,K512975.39,2026-01-14 08:32:01
27046639888,14011277173,X640999,2026-02-09 07:02:01
02048053449,16043915790,B316529,2026-06-09 23:55:46
14036730831,06120159460,K513591,2026-06-17 11:06:57
06127921077,28097434462,X663757.40,2025-11-05 02:48:24
28086691989,15119019660,X652239,2025-05-30 22:11:58
29017122624,18075498698,Β311905.153,2026-10-14 14:03:28
30107682035,11044712553,B305811,2024-03-02 22:07:32
01126898842,05094880092,X643757.6,2026-12-12 02:49:25
06067883458,12011385548,X634623,2026-01-18 21:09:37
23107913462,04113974462,K512977.28,2025-02-26 21:33:13
10116142591,19043282893,X694399,2025-06-14 14:22:22
17087168135,03121761182,X622245,2026-03-21 09:32:50
10028991768,02038100537,X662459,2024-10-08 16:17:55
06057292609,01109156356,X719409,2025-03-27 12:15:59
29017122624,10103391898,X707335,2026-12-30 02:53:24
30118698533,10123473069,X633937.101,2025-04-15 10:09:48
06067101897,28037012036,X694867,2025-05-20 12:58:32
24079926715,01020475087,X718825,2025-05-28 07:32:33
25047108185,28012449089,X647339,2025-12-06 20:11:29
17056131879,15052081973,X634869,2024-06-11 00:35:13
21107026591,25106081675,X627289,2024-07-23 09:37:10
01059746426,14129876447,X706565,2026-12-04 18:45:10
15066419340,01114399582,K516901,2026-09-28 03:17:06
20120057109,03101638442,B311021,2024-10-15 23:15:58
02049297106,29012353717,K514139,2024-05-30 11:34:43
15027849121,31104263750,X630015,2026-07-21 00:40:30
17086545716,16108283518,X717589,2024-08-09 09:34:41
14107187228,25054257554,X703557,2024-02-06 07:16:37
20018969312,25026611536,X611863,2026-07-26 04:48:30
22068549109,28033832714,A403703,2026-08-11 14:08:31
12059642917,13103019920,X690309,2025-06-03 17:33:29
25087114134,05081177128,X706131,2024-07-16 10:12:06
12097182585,20065255581,B310027,2026-04-11 08:15:27
17028848865,21124039495,X631349,2026-12-29 09:42:41
23018833514,02035700567,X713839,2024-03-08 02:00:37
12046562974,12050972621,X709535,2024-07-31 23:31:18
05036745427,12068645255,X622429,2025-06-28 07:13:05
10086060998,27023869045,X681057.9,2026-11-01 05:49:50
04059387205,06054100114,X683119,2025-12-11 00:28:58
11017293008,29128226478,B308107,2026-11-10 17:59:46
08078996446,09036248546,X668059,2025-09-20 15:49:40
23116204779,14077052397,K506165,2024-05-25 20:29:57
19048935115,17080641032,B318427,2026-09-16 05:53:03
13019416697,03020805809,X630181,2024-10-24 03:19:56
05069279544,08074030617,X628677,2024-10-11 21:39:52
09126344643,22114787648,Β315905.22,2025-08-08 13:24:33
01117326244,07062068178,X622023,2026-04-29 20:53:07
15039665806,25084830271,Β311905.145,2026-06-01 20:08:29
26077906631,24047409942,X646589,2025-05-18 06:46:38
28059567514,22104540212,X669879,2025-03-16 02:23:46
02097580827,12062389249,X631957.134,2025-12-20 10:32:21
29047849914,08097931892,X670601,2024-08-15 00:56:20
08117665345,05113422444,X718831,2024-06-08 18:37:54
12046562974,10081741612,X631957.87,2026-01-02 19:27:31
18098586120,09021720255,X626219,2024-01-21 13:22:25
27038868673,01027203214,X666049,2024-10-09 06:44:49
21039215689,17051271211,X670633,2024-03-02 05:18:30
18098586120,12030382582,B313605.395,2025-01-26 09:03:24
06099678104,26120648910,X704243,2025-06-09 05:32:23
31056342606,30015148253,A403735,2024-10-25 11:39:14
14046610707,02046674997,X681389,2025-12-10 09:34:44
26089867334,12114253533,X637757.4,2026-08-20 13:40:42
23067780241,22050690740,X680733,2025-03-30 13:31:59
14109194640,26104002539,B313605.321,2024-05-28 11:56:53
03128845112,02028744276,X719299,2025-11-18 16:45:20
05118761571,20129426075,X686859,2025-09-11 16:34:45
22036277849,13068607573,X661263,2026-11-22 02:17:02
13019416697,22091854259,X666957.1,2025-04-21 00:58:07
12106789983,22087047758,B313605.86,2025-01-10 16:35:01
13129274742,14065209714,X709199,2025-09-01 15:35:35
27017521250,07117537292,X618539,2026-05-19 16:35:23
05066544429,02021772910,K513613,2025-08-22 09:55:51
26089867334,18043646998,X646965,2026-06-22 10:32:13
21056659269,03085321488,X624375,2024-06-01 02:30:50
26039581346,14127656591,X631957.213,2024-08-20 19:15:05
24088935039,12038938621,Χ639957.2,2024-10-06 13:00:34
31019131751,09079739374,K512973.3,2026-09-15 20:09:09
03117820339,01088593394,B316651,2026-11-12 20:40:23
06067101897,16070404761,K513591,2025-01-04 16:07:44
29087896734,04103963261,B315209,2024-05-29 20:57:05
14078113908,22128233004,X675439,2026-11-01 13:51:06
15088506830,01096718662,B310517,2025-03-12 09:10:03
24108863678,08077375297,B314517,2025-04-13 11:30:14
25059138149,25055102709,X667229,2024-08-22 01:38:39
22057224885,24053779347,X636059,2026-02-03 18:55:07
24088935039,11045860019,B305223,2024-11-02 07:50:20
25067343186,12038750288,B313747,2026-09-24 22:29:13
24127417202,11113033367,B316705,2024-07-08 03:12:38
14048983004,12103476139,X668371,2026-06-03 09:45:30
06066504974,05033123120,X636139,2025-07-16 21:31:28
02078885574,08078260005,B313707,2024-01-29 00:42:54
01088554347,11119984648,X680639,2026-04-20 11:31:17
29039992765,06037601487,X650143,2024-09-20 21:24:58
13100035673,12079440079,X694959,2024-02-05 22:20:21
21019870610,27083599544,K500321,2024-08-08 20:38:54
19106310004,22041983037,X633937.260,2024-01-15 20:05:58
25116313213,28120292581,X681459,2025-04-18 18:32:16
26109984655,10125782228,X624391,2026-08-16 22:45:37
19109063851,28068784830,K507281,2025-07-20 22:43:45
07126830003,15049349110,X606159,2024-02-21 06:30:56
25119412075,27106686502,X625597,2025-02-11 01:22:37
17087168135,29121099113,B316705.50,2026-03-26 03:38:41
22057255499,17069164106,K508347,2025-10-30 11:56:11
04047958814,16057779135,K507001,2025-11-08 16:02:28
18076329356,27104074096,A403721,2024-11-10 03:22:18
27127441655,05095707018,X698111,2024-05-24 21:56:36
20027211534,14020864238,X693221,2026-02-05 15:55:12
29028813181,12072073448,X663757.37,2024-11-25 00:58:33
05076734352,15082186185,X701001,2025-10-01 17:27:07
30039993909,11019869279,X717969,2025-04-18 14:24:49
30039993909,14121621504,X631957.32,2026-04-24 04:52:24
28059567514,07097608238,Β311905.177,2024-10-21 23:01:08
05069279544,01031153879,Β311905.69,2026-10-11 23:14:47
30089715268,04118764195,X683957.10,2025-09-28 21:09:44
02038186264,20072303508,X646467,2024-05-14 07:13:53
29047849914,12103476139,X688969,2024-01-26 06:37:50
07119294567,14065300984,X703071,2025-05-18 02:00:09
08070044736,08010054645,B311247,2024-10-18 20:09:04
19089318457,24116282778,X663757.50,2025-01-23 07:09:42
26086400932,06105037642,B305857,2026-05-27 04:37:09
12029214112,31014431011,A400081,2025-09-20 12:58:27
08117665345,20013740932,X631957.183,2025-07-11 12:13:35
27038876062,30044014009,B313131,2025-07-06 16:57:32
07077275306,05083256838,B314949,2025-03-02 15:33:55
07079445783,26039070784,X714173,2025-12-26 17:26:58
20057853872,28016911391,X643757.4,2026-01-17 02:52:34
20039428891,13026022042,X604073,2024-02-25 06:45:24
06010036468,09055189891,X680639,2024-09-21 11:15:28
04038417249,27106818678,A403799.35,2026-05-18 16:45:44
06066504974,02077252277,X708819,2025-02-04 10:35:38
22066909048,06041510143,X677999,2025-08-22 14:55:32
06129006779,04117547879,X653137,2025-06-26 12:15:48
30118698533,15108429528,X666957.2,2025-01-21 21:24:47
16086450108,28028784934,X686821,2026-04-29 04:13:25
30128750138,26051143603,K517275,2026-02-02 18:06:25
11087036989,10087907203,X647585,2024-07-03 23:54:08
22116220421,09072466340,K508941,2025-10-12 04:22:24
31056169071,16086537069,X704681,2024-09-22 22:40:36
19097671585,06013311813,X631957.9,2025-06-01 16:34:47
30069480731,13046651136,X688279,2026-08-23 01:46:34
30050072873,25072253632,X633937.216,2026-06-29 13:40:52
14117875826,30100930827,X673803,2026-05-08 06:01:46
29067492365,27039812855,B300013,2026-10-27 00:16:40
11109402742,30091005653,X603469,2026-01-30 18:16:11
12057155300,23095088685,X646569,2024-05-31 01:13:07
27057193151,21055803553,X678469,2025-10-04 21:12:03
22079485601,03039461622,B312307,2026-11-18 07:59:49
23107913462,11113191528,Β311905.44,2024-09-19 02:22:48
17116460629,30079345911,X603921,2024-12-29 07:07:31
04027088201,17030464001,B310167,2026-02-10 06:40:38
16057668308,21042495456,A401531,2024-12-19 01:39:05
23087652129,05015707345,X627023,2024-05-01 14:50:32
11110090113,12036932545,X634333,2024-04-28 11:17:18
28057037026,18078916486,X679271,2024-02-18 23:23:54
12059647060,20063815395,X622351,2024-12-27 00:35:37
27089112158,07098135680,B313605.345,2024-06-30 07:30:24
14067544474,10035533815,X648761,2026-08-03 17:47:50
22029134563,29069627379,K501071,2026-04-03 16:57:50
11126055066,06025775185,X626271,2026-06-02 12:15:13
17019076124,11074013959,X666609,2026-03-06 17:06:30
12029214112,29101275000,B304783,2026-09-08 14:26:00
27119559754,16128914885,B315511,2026-01-04 11:07:18
03089789067,28109343508,B301911,2024-06-19 12:29:11
07096320081,12075677319,X627817.3,2026-08-02 18:38:32
24079369309,25113826986,X719359,2026-02-04 13:23:30
15106199373,31105527919,X603239,2026-02-11 23:58:10
24079926715,26010861851,X633937.24,2024-08-23 02:59:43
07049776563,09025331319,Β315905.62,2026-04-26 15:41:22
14109654575,31127954620,X606221,2026-02-09 11:27:44
02066476243,21088382739,X633937.120,2026-10-03 19:53:17
15097462184,21024470950,B316305.31,2024-07-26 03:01:46
10127855123,29105114583,X667481,2026-09-09 20:14:57
24109192383,22052224651,X625023,2025-04-27 01:55:16
03056212030,20035516189,A402081,2024-10-15 17:08:00
22017231261,05105141176,K504129,2026-04-03 07:07:30
10049377861,10097472569,X631279,2025-12-22 01:02:39
13019416697,07080900094,X686855,2024-03-27 07:47:01
20036906148,08123574125,A403799.24,2025-04-17 05:56:32
05107951647,20025892304,X626999,2025-06-26 05:56:00
25078560613,14064699602,B316431,2026-04-29 11:04:05
27068908645,07015066380,X698987,2026-04-27 05:40:07
13059468434,03096694938,X647513,2026-08-06 23:18:15
27036319627,12044571806,X603243,2025-10-09 07:28:48
12086271854,09117320880,X633937.244,2024-12-11 12:23:53
29039992765,02129550783,X706039,2025-05-25 16:51:06
24127184919,21037742040,X646781,2026-07-01 18:13:52
23066663412,25048043815,B314411,2026-03-25 17:44:45
15087050344,27036187961,X668199,2026-06-19 20:26:36
07127401967,07114186104,B304889,2026-03-06 01:35:35
03097463750,21041661462,X701039,2026-03-18 02:57:04
08058930587,10048755877,X663757.3,2024-05-30 18:23:40
08117665345,20103749341,X691409,2025-03-13 13:42:56
06017832098,31108214172,X670729,2026-09-08 14:35:52
26107012918,22043786836,X647249,2025-10-26 13:15:46
29088759148,22064581095,X691579,2024-08-13 17:30:44
31087386956,15047004075,X631171,2024-04-16 06:14:26
19067764454,06087382993,X631957.134,2025-09-28 07:13:58
05029958451,11056862615,B313605.300,2024-03-15 21:36:50
18048136821,08100367477,X633937.195,2025-11-27 03:50:11
31087386956,12098905400,B318227,2024-12-19 21:13:14
17060046345,08088755456,X622159,2024-10-27 13:10:57
18038419704,28098230704,X620409,2024-12-28 04:29:13
28126455528,08050413145,ΑΙΜΟΔΟΣΙΑ – ΜΕΤΡΗΣΕΙΣ ΣΤΟΙΧΕΙΩΝ ΑΙΜΑΤΟΣ – ΠΗΞΗ,2025-07-29 02:25:14
12096045767,18054015934,X697999,2025-08-10 23:45:03
23017282546,30107843016,X642749,2025-03-24 07:54:38
26109596245,01119086209,X600279,2024-08-30 16:11:58
24108863678,01075678094,Β315905.77,2024-12-26 16:24:08
30128559854,24098742805,K513605,2026-12-22 21:34:58
12029214112,13087418775,X678831,2025-01-17 12:04:43
27029081490,05036886549,B311917,2025-12-25 20:03:03
11126055066,10075501354,X612019,2025-08-20 02:08:42
05109258558,21058372585,X707371,2026-10-08 22:12:29
23107913462,09111102535,X667263,2024-06-09 01:42:41
21037222305,06062090182,X632191,2025-03-10 19:11:34
13049573563,12044571806,X611629,2025-11-17 16:40:42
07067536585,05081289005,Β315905.93,2026-02-26 18:44:04
07126830003,24124562439,X634909,2026-08-14 06:39:50
02048031608,12016157517,A401677,2024-04-30 00:20:05
07126011914,01043145140,B314505,2026-05-07 22:30:17
20046686404,24046193997,X626619,2025-07-25 05:13:51
30038495478,16030390543,X643101,2024-08-22 22:30:54
30038446143,02118246583,X709403,2024-07-07 12:33:54
13026249879,04086707725,"ΕΦΑΡΜΟΓΕΣ ΓΥΨΟΥ, ΝΑΡΘΗΚΑ Κ.Λ.Π",2024-08-07 09:48:50
14109654575,27038801314,X665571,2025-02-06 10:53:45
08107948767,02121500623,X635427,2025-05-08 09:04:35
23116959070,13049207608,K506181,2025-05-01 20:09:03
13128886585,26078921060,K512975.32,2025-01-29 00:47:32
07039120569,09129570369,B316705.112,2026-12-07 16:14:52
27127004840,23073043263,X627129,2025-09-01 19:05:29
06056298788,16099530940,B307715,2025-08-30 04:35:07
25066070679,04074339186,X682079,2024-09-05 06:16:27
10066642723,05080610285,X715099,2024-12-03 12:28:42
18086649381,26106259676,X651235,2025-04-12 04:57:02
03086348216,25059693390,B313605.388,2026-11-10 00:58:26
28057037026,27035904777,X694985,2024-07-16 08:33:02
31076118476,19083782369,A402201,2026-04-10 22:48:08
26100094211,08090425355,Β315905.101,2026-11-07 23:19:24
18117707554,21103764886,X638519,2026-05-27 05:21:11
16019343953,25017929402,K514009,2024-09-06 19:16:11
13019511418,05128932312,X625687,2025-11-17 09:21:01
04049765143,05124673362,B313437,2026-05-23 11:52:56
14119259652,18061387987,X602039,2024-08-12 06:15:44
10047575259,23059602082,X675361,2024-06-22 22:40:17
15068957567,14115310392,X663707,2026-12-11 16:37:39
22017231261,14105649947,B304673,2024-07-09 21:16:27
08117909654,28069143727,X620961,2024-12-29 20:40:47
25047807193,11101758333,X630959,2024-12-20 00:58:31
06066504974,14066560717,A401503,2025-10-17 15:48:35
18128340575,23026624521,X667227,2024-11-03 08:24:38
07127401967,16053194379,X715719,2026-11-28 13:23:48
31087386956,08120355204,X703037,2026-09-09 17:15:22
24108900767,29048707377,B313605.201,2025-07-10 10:14:38
19109043504,22034032713,X631957.7,2024-08-15 19:03:57
31056169071,28126186923,X631957.174,2024-09-12 18:02:01
01126898842,06086641140,X697875,2024-03-22 14:48:25
11086204373,24106578985,B313223,2025-08-18 02:49:38
20118029005,17017986426,X622159,2025-07-27 09:56:34
06117490221,04057208630,B316705.26,2026-08-21 00:04:22
14109654575,12051460736,X683527,2026-04-06 21:58:15
26026494790,16060844284,B314989,2026-05-14 18:54:53
31056342606,05018026843,B313605.387,2025-04-28 02:30:24
05119034270,29066534743,X707441,2026-02-19 00:16:49
06047614649,15088677104,B318427,2026-03-17 01:22:32
04107581800,12125379852,K512185,2024-12-08 22:57:47
23107913462,05124145167,K511103,2025-04-22 05:54:08
27029081490,28049375595,K512977.28,2026-06-01 17:51:21
06056298788,14019091199,X614505,2026-09-13 08:48:33
24097463592,28070149094,X709363,2024-06-23 07:08:41
17028848865,18020878440,X703049,2025-12-22 21:04:32
15106199373,24114582251,X645599,2026-10-19 08:14:44
14048580529,18091448263,B312713,2024-05-07 02:41:41
01026474429,02090077823,X620439,2026-01-23 00:47:04
20027156874,03017284235,K511447,2025-07-29 23:04:08
03049483304,31104629141,X622457,2025-02-19 22:43:19
30059828244,29100744280,B308377,2024-05-14 13:10:38
31086146127,08114414244,X665357,2026-12-06 10:08:37
16066288202,23061878795,X646979,2026-11-07 03:11:19
30066643000,17013217769,B313715,2026-09-17 11:33:14
08066384048,02129550783,X697279,2024-11-02 22:32:50
23087652129,25065130853,B316705.48,2025-11-25 21:09:43
30076480256,07109699182,X626403,2024-06-27 18:48:52
23059227024,14038823709,X709603,2026-07-21 01:05:18
18076329356,24019373200,ΑΝΔΡΙΚΟ ΓΕΝΝΗΤΙΚΟ ΣΥΣΤΗΜΑ,2025-12-17 19:03:06
27038868673,31120862427,B315067,2025-09-26 19:26:16
19106310004,24107043620,K507201,2024-12-11 00:15:46
04117489700,28049076218,B306009,2024-03-19 02:41:47
13059468434,26102379568,X634313,2026-06-15 18:23:07
18078628006,04091610316,K512975.35,2024-01-20 15:08:06
18067010293,22037354424,X633937.16,2026-11-23 16:53:31
19028204618,15086677173,X663757.1,2025-03-15 15:00:14
20046686404,30073715892,X632955,2026-06-13 03:03:41
17077991574,24087817684,B313605.407,2026-06-01 01:16:36
18088196096,02101960644,X666957,2025-07-28 04:02:03
29018364310,17036597386,X666661,2024-08-22 17:28:11
16059222404,16052078481,X718839,2025-05-14 04:49:09
31056169071,25027298831,X658957.10,2025-03-14 17:29:28
07128933392,08034082423,B314607,2026-11-19 13:01:03
31038701390,05056088725,X655491,2025-09-17 18:57:18
19036395052,14012501027,X650141,2026-03-02 14:43:10
03128845112,13122487559,X674247,2025-10-20 23:14:20
28106015571,20084121746,X684649,2026-07-10 01:44:40
19088103483,04010631145,X657009,2024-01-25 22:50:55
09089264470,23098881596,X686843,2026-04-25 05:24:27
05066544429,21085660459,X633937.260,2025-10-13 04:25:26
30089715268,13067182173,X664479,2025-02-13 15:29:36
26109596245,26106735702,K516261,2025-07-06 09:05:03
25119412075,23050357349,X639685,2026-02-11 08:04:35
22077399915,22126616637,A403077,2026-08-17 11:27:24
05109258558,13026022042,X715775,2024-10-01 13:09:18
31087386956,28024330640,X647531,2025-02-22 16:05:50
14087685423,12101928764,B311985,2025-05-17 14:45:57
02048031608,21072149472,X631957.199,2024-09-25 01:58:40
08038064163,06051238562,X635587,2025-04-29 03:10:08
04097289185,29010900184,B313715,2024-01-22 00:41:29
05118656775,29073890455,X709699,2025-11-07 13:45:42
09078487422,09040308092,X641159,2024-08-14 19:07:44
31087386956,29049859047,B316705.41,2024-12-03 12:59:08
22079485601,08100396051,X633937.152,2024-03-28 18:13:04
10049377861,12128244519,X631957.240,2026-06-12 12:30:33
03116493443,24030076383,B313605.221,2026-10-23 12:32:25
02057856361,21085188832,B314455,2026-08-28 17:13:26
07126830003,22028918226,X647531,2024-10-10 06:53:44
05088386643,18036417623,X627817.8,2026-11-24 14:46:27
24019537327,29033483998,X620161,2024-12-18 01:09:42
08097338699,28089896180,X681053,2025-02-17 12:59:15
30079525039,28061603433,X668369,2026-10-03 00:08:55
02057856361,11010906808,K504243,2025-06-28 03:49:59
24107206566,14081329494,X651071,2025-08-01 07:37:21
25047108185,20125607488,X667179,2025-05-16 16:50:51
17087168135,30088539473,K517151,2026-11-07 12:04:53
07010039098,10090968764,B306917,2024-07-09 01:06:41
21019870610,06070398104,B316705.137,2024-02-20 23:44:02
12029214112,30010911463,B308865,2025-11-11 06:49:26
15106199373,07074349091,X681899,2024-05-24 14:46:49
21027177831,15011184383,A401673,2026-12-26 21:37:43
27057193151,21011696010,X700463,2024-08-10 09:31:17
12087368022,10111578957,A401547,2024-07-16 06:43:25
06086096998,28070801216,X715761,2025-11-03 17:39:46
01058014536,01099221911,X668591,2025-12-15 08:11:22
17098211492,29103084210,X700983,2026-06-08 01:41:07
22129633534,06031598465,X633937.34,2026-11-15 19:56:36
20039428891,20063744061,B313605.77,2025-12-18 09:30:12
01019214971,05067001439,X645957.21,2025-06-27 12:32:12
11086204373,07091952429,Β311905.97,2026-04-25 21:08:49
12106789983,09042429394,A401561,2024-06-25 13:31:59
18027242588,20087189084,B300111,2026-04-12 22:03:34
13126695715,29041751118,X622865,2025-03-19 21:37:05
24128760642,11114277281,X652279,2025-10-09 11:57:35
13126695715,12031289831,X603503,2026-09-23 19:00:42
22017231261,21060975146,K513861,2026-11-19 01:14:18
31128168449,18044438225,B316211,2025-07-06 08:25:58
18079137617,19100891144,K507109,2026-06-07 16:31:07
04027088201,22118544730,X633937.189,2025-04-14 06:24:54
20120057109,16107481602,K512977.50,2025-12-11 23:55:44
24119277882,28076235503,X602585,2026-01-10 01:23:41
05107951647,22011686885,B305861,2025-04-19 09:44:52
18026491407,08120355204,K515025,2024-04-08 10:53:37
13049344733,22052224651,X646373,2025-01-08 16:21:10
14027204472,21042452856,A403799.25,2025-07-04 11:04:16
11086204373,28111055744,X649981,2024-02-09 23:45:41
25116313213,07039112441,X600081,2026-12-10 10:08:16
09087465106,22013915661,X659041,2026-08-27 02:07:17
09019562411,16075465531,B313605.51,2024-03-07 02:11:57
15066419340,17124623309,B313605.321,2024-07-01 19:05:59
06027984112,03105077704,X647731,2026-06-12 06:39:08
12126334304,30014001384,X621339,2024-10-10 11:14:46
09078487422,13122487559,A401061,2024-12-23 15:55:30
19028204618,11017269636,X708917,2024-05-07 13:52:49
27059740869,29046008227,X683957.10,2026-04-13 22:17:35
30118698533,24052013257,X631957.173,2024-12-10 21:46:18
16098922011,01036288703,B313605.124,2026-09-23 17:54:30
